category_x,category_url_x,article_name_x,article_url_x,parent_category_x,idioma_x,article_name_es,category_y,category_url_y,article_name_y,article_url_y,parent_category_y,idioma_y,num_palabras_x,num_palabras_y
Ger (Gerona),https://es.wikipedia.org/wiki/Categor%C3%ADa:Ger_(Gerona),Gréixer,https://es.wikipedia.org/wiki/Gr%C3%A9ixer,,es,Crecer,Geografia de Ger,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Ger,Gréixer,https://ca.wikipedia.org/wiki/Gr%C3%A9ixer,Ger,ca,60,320
Guils de Cerdaña,https://es.wikipedia.org/wiki/Categor%C3%ADa:Guils_de_Cerda%C3%B1a,Guils Fontanera,https://es.wikipedia.org/wiki/Guils_Fontanera,,es,Guils Fontanera,Guils de Cerdanya,https://ca.wikipedia.org/wiki/Categoria:Guils_de_Cerdanya,Guils Fontanera,https://ca.wikipedia.org/wiki/Guils_Fontanera,,ca,1082,406
Isóbol,https://es.wikipedia.org/wiki/Categor%C3%ADa:Is%C3%B3bol,Olopte,https://es.wikipedia.org/wiki/Olopte,,es,Olopto,Geografia d'Isòvol,https://ca.wikipedia.org/wiki/Categoria:Geografia_d%27Is%C3%B2vol,Olopte,https://ca.wikipedia.org/wiki/Olopte,Isòvol,ca,91,25
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Coborriu de la Llosa,https://es.wikipedia.org/wiki/Coborriu_de_la_Llosa,,es,Coborriu de la Llosa,Entitats de població de Lles de Cerdanya,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Lles_de_Cerdanya,Coborriu de la Llosa,https://ca.wikipedia.org/wiki/Coborriu_de_la_Llosa,Geografia de Lles de Cerdanya,ca,136,118
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Coborriu de la Llosa,https://es.wikipedia.org/wiki/Coborriu_de_la_Llosa,,es,Coborriu de la Llosa,Vall de la Llosa,https://ca.wikipedia.org/wiki/Categoria:Vall_de_la_Llosa,Coborriu de la Llosa,https://ca.wikipedia.org/wiki/Coborriu_de_la_Llosa,Geografia de Lles de Cerdanya,ca,136,118
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Coborriu de la Llosa,https://es.wikipedia.org/wiki/Coborriu_de_la_Llosa,,es,Coborriu de la Llosa,Vall de la Llosa,https://ca.wikipedia.org/wiki/Categoria:Vall_de_la_Llosa,Coborriu de la Llosa,https://ca.wikipedia.org/wiki/Coborriu_de_la_Llosa,Geografia de Prullans,ca,136,118
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Travesseres,https://es.wikipedia.org/wiki/Travesseres,,es,Traveseras,Entitats de població de Lles de Cerdanya,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Lles_de_Cerdanya,Travesseres,https://ca.wikipedia.org/wiki/Travesseres,Geografia de Lles de Cerdanya,ca,102,164
Lles,https://es.wikipedia.org/wiki/Categor%C3%ADa:Lles,Viliella,https://es.wikipedia.org/wiki/Viliella,,es,Viliella,Entitats de població de Lles de Cerdanya,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Lles_de_Cerdanya,Viliella,https://ca.wikipedia.org/wiki/Viliella,Geografia de Lles de Cerdanya,ca,45,173
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Castillo de Llivia,https://es.wikipedia.org/wiki/Castillo_de_Llivia,Llivia,es,Castillo de Llívia,Edificis de Llívia,https://ca.wikipedia.org/wiki/Categoria:Edificis_de_Ll%C3%ADvia,Castell de Llívia,https://ca.wikipedia.org/wiki/Castell_de_Ll%C3%ADvia,Llívia,ca,194,826
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Castillo de Llivia,https://es.wikipedia.org/wiki/Castillo_de_Llivia,Llivia,es,Castillo de Llívia,Patrimoni monumental de Llívia,https://ca.wikipedia.org/wiki/Categoria:Patrimoni_monumental_de_Ll%C3%ADvia,Castell de Llívia,https://ca.wikipedia.org/wiki/Castell_de_Ll%C3%ADvia,Llívia,ca,194,826
Arquitectura de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Arquitectura_de_Llivia,Museo Municipal de Llivia,https://es.wikipedia.org/wiki/Museo_Municipal_de_Llivia,Llivia,es,Museo Municipal de Llívia,Edificis de Llívia,https://ca.wikipedia.org/wiki/Categoria:Edificis_de_Ll%C3%ADvia,Museu Municipal de Llívia,https://ca.wikipedia.org/wiki/Museu_Municipal_de_Ll%C3%ADvia,Llívia,ca,713,517
Pedanías de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Pedan%C3%ADas_de_Llivia,Cereja,https://es.wikipedia.org/wiki/Cereja,Llivia,es,Cerea,Geografia de Llívia,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Ll%C3%ADvia,Cereja,https://ca.wikipedia.org/wiki/Cereja,Llívia,ca,169,118
Pedanías de Llivia,https://es.wikipedia.org/wiki/Categor%C3%ADa:Pedan%C3%ADas_de_Llivia,Gorguja,https://es.wikipedia.org/wiki/Gorguja,Llivia,es,Gorguja,Geografia de Llívia,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Ll%C3%ADvia,Gorguja,https://ca.wikipedia.org/wiki/Gorguja,Llívia,ca,60,65
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Béixec,https://es.wikipedia.org/wiki/B%C3%A9ixec,,es,Becillo,Entitats de població de Montellà i Martinet,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Montell%C3%A0_i_Martinet,Béixec,https://ca.wikipedia.org/wiki/B%C3%A9ixec,Geografia de Montellà i Martinet,ca,35,138
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Estana,https://es.wikipedia.org/wiki/Estana,,es,Estana,Entitats de població de Montellà i Martinet,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Montell%C3%A0_i_Martinet,Estana,https://ca.wikipedia.org/wiki/Estana,Geografia de Montellà i Martinet,ca,188,81
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Montellà,https://es.wikipedia.org/wiki/Montell%C3%A0,,es,Montellà,Entitats de població de Montellà i Martinet,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Montell%C3%A0_i_Martinet,Montellà,https://ca.wikipedia.org/wiki/Montell%C3%A0,Geografia de Montellà i Martinet,ca,90,324
Montellá Martinet,https://es.wikipedia.org/wiki/Categor%C3%ADa:Montell%C3%A1_Martinet,Víllec,https://es.wikipedia.org/wiki/V%C3%ADllec,,es,Vílogo,Entitats de població de Montellà i Martinet,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_poblaci%C3%B3_de_Montell%C3%A0_i_Martinet,Víllec,https://ca.wikipedia.org/wiki/V%C3%ADllec,Geografia de Montellà i Martinet,ca,74,99
Prulláns,https://es.wikipedia.org/wiki/Categor%C3%ADa:Prull%C3%A1ns,Prulláns,https://es.wikipedia.org/wiki/Prull%C3%A1ns,,es,Prullanos,Prullans,https://ca.wikipedia.org/wiki/Categoria:Prullans,Prullans,https://ca.wikipedia.org/wiki/Prullans,,ca,169,78
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Puigcerdá,https://es.wikipedia.org/wiki/Puigcerd%C3%A1,,es,Puigcerdá,Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Puigcerd%C3%A0,Puigcerdà,https://ca.wikipedia.org/wiki/Puigcerd%C3%A0,,ca,751,791
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Hospital de Puigcerdá,https://es.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A1,,es,Hospital de Puigcerdá,Edificis de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Edificis_de_Puigcerd%C3%A0,Hospital de Puigcerdà,https://ca.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A0,Puigcerdà,ca,362,319
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Hospital de Puigcerdá,https://es.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A1,,es,Hospital de Puigcerdá,Entitats de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Entitats_de_Puigcerd%C3%A0,Hospital de Puigcerdà,https://ca.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A0,Puigcerdà,ca,362,319
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Hospital de Puigcerdá,https://es.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A1,,es,Hospital de Puigcerdá,Patrimoni monumental de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Patrimoni_monumental_de_Puigcerd%C3%A0,Hospital de Puigcerdà,https://ca.wikipedia.org/wiki/Hospital_de_Puigcerd%C3%A0,Puigcerdà,ca,362,319
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Rigolisa,https://es.wikipedia.org/wiki/Rigolisa,,es,Rigolisa,Geografia de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Puigcerd%C3%A0,Rigolisa,https://ca.wikipedia.org/wiki/Rigolisa,Puigcerdà,ca,91,285
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Rigolisa,https://es.wikipedia.org/wiki/Rigolisa,,es,Rigolisa,Patrimoni monumental de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Patrimoni_monumental_de_Puigcerd%C3%A0,Rigolisa,https://ca.wikipedia.org/wiki/Rigolisa,Puigcerdà,ca,91,285
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Ventajola,https://es.wikipedia.org/wiki/Ventajola,,es,Ventajola,Geografia de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Puigcerd%C3%A0,Ventajola,https://ca.wikipedia.org/wiki/Ventajola,Puigcerdà,ca,95,74
Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Puigcerd%C3%A1,Vilallobent,https://es.wikipedia.org/wiki/Vilallobent,,es,Vilallobent,Geografia de Puigcerdà,https://ca.wikipedia.org/wiki/Categoria:Geografia_de_Puigcerd%C3%A0,Vilallobent,https://ca.wikipedia.org/wiki/Vilallobent,Puigcerdà,ca,160,336
Nacidos en Puigcerdá,https://es.wikipedia.org/wiki/Categor%C3%ADa:Nacidos_en_Puigcerd%C3%A1,Pere Borrell del Caso,https://es.wikipedia.org/wiki/Pere_Borrell_del_Caso,Puigcerdá,es,Pere Borrell del Caso,Artistes puigcerdanencs,https://ca.wikipedia.org/wiki/Categoria:Artistes_puigcerdanencs,Pere Borrell del Caso,https://ca.wikipedia.org/wiki/Pere_Borrell_del_Caso,Puigcerdanencs,ca,564,1114
